scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,status,warmup,error_type,error_message
medium,mosh,command_loop,1,1,2,df -h,162.389402,ok,1,,
medium,mosh,command_loop,1,2,2,df -h,156.503442,ok,1,,
medium,mosh,command_loop,1,3,2,df -h,168.368336,ok,1,,
medium,mosh,command_loop,1,4,2,df -h,144.966249,ok,0,,
medium,mosh,command_loop,1,5,2,df -h,154.522702,ok,0,,
medium,mosh,command_loop,1,6,2,df -h,157.089827,ok,0,,
medium,mosh,command_loop,1,7,2,df -h,164.411527,ok,0,,
medium,mosh,command_loop,1,8,2,df -h,152.055735,ok,0,,
medium,mosh,command_loop,1,9,2,df -h,145.628792,ok,0,,
medium,mosh,command_loop,1,10,2,df -h,156.049884,ok,0,,
medium,mosh,command_loop,1,11,2,df -h,158.852604,ok,0,,
medium,mosh,command_loop,1,12,2,df -h,164.421305,ok,0,,
medium,mosh,command_loop,1,13,2,df -h,153.602885,ok,0,,
medium,mosh,command_loop,1,14,2,df -h,163.566184,ok,0,,
medium,mosh,command_loop,1,15,2,df -h,160.775741,ok,0,,
medium,mosh,command_loop,1,16,2,df -h,168.706504,ok,0,,
medium,mosh,command_loop,1,17,2,df -h,160.588210,ok,0,,
medium,mosh,command_loop,1,18,2,df -h,155.863555,ok,0,,
medium,mosh,command_loop,1,19,2,df -h,414.226679,ok,0,,
medium,mosh,command_loop,1,20,2,df -h,158.520727,ok,0,,
medium,mosh,command_loop,1,21,2,df -h,160.383451,ok,0,,
medium,mosh,command_loop,1,22,2,df -h,168.966255,ok,0,,
medium,mosh,command_loop,1,23,2,df -h,150.827086,ok,0,,
medium,mosh,command_loop,1,24,2,df -h,157.157723,ok,0,,
medium,mosh,command_loop,1,25,2,df -h,162.971071,ok,0,,
medium,mosh,command_loop,1,26,2,df -h,166.777201,ok,0,,
medium,mosh,command_loop,1,27,2,df -h,164.709729,ok,0,,
medium,mosh,command_loop,1,28,2,df -h,162.037293,ok,0,,
medium,mosh,command_loop,1,29,2,df -h,159.337239,ok,0,,
medium,mosh,command_loop,1,30,2,df -h,156.371352,ok,0,,
medium,mosh,command_loop,1,31,2,df -h,162.805718,ok,0,,
medium,mosh,command_loop,1,32,2,df -h,155.458672,ok,0,,
medium,mosh,command_loop,1,33,2,df -h,155.813694,ok,0,,
medium,mosh,command_loop,1,34,2,df -h,159.375806,ok,0,,
medium,mosh,command_loop,1,35,2,df -h,163.727666,ok,0,,
medium,mosh,command_loop,1,36,2,df -h,160.112332,ok,0,,
medium,mosh,command_loop,1,37,2,df -h,163.161656,ok,0,,
medium,mosh,command_loop,1,38,2,df -h,155.240957,ok,0,,
medium,mosh,command_loop,1,39,2,df -h,161.601920,ok,0,,
medium,mosh,command_loop,1,40,2,df -h,173.322898,ok,0,,
medium,mosh,command_loop,1,41,2,df -h,159.217734,ok,0,,
medium,mosh,command_loop,1,42,2,df -h,156.086221,ok,0,,
medium,mosh,command_loop,1,43,2,df -h,158.217165,ok,0,,
medium,mosh,command_loop,1,44,2,df -h,139.462878,ok,0,,
medium,mosh,command_loop,1,45,2,df -h,163.490619,ok,0,,
medium,mosh,command_loop,1,46,2,df -h,164.531744,ok,0,,
medium,mosh,command_loop,1,47,2,df -h,166.896426,ok,0,,
medium,mosh,command_loop,1,48,2,df -h,161.071016,ok,0,,
medium,mosh,command_loop,1,49,2,df -h,156.431159,ok,0,,
medium,mosh,command_loop,1,50,2,df -h,161.206946,ok,0,,
medium,mosh,command_loop,2,1,2,df -h,158.001475,ok,1,,
medium,mosh,command_loop,2,2,2,df -h,166.616398,ok,1,,
medium,mosh,command_loop,2,3,2,df -h,157.953097,ok,1,,
medium,mosh,command_loop,2,4,2,df -h,170.984007,ok,0,,
medium,mosh,command_loop,2,5,2,df -h,162.090547,ok,0,,
medium,mosh,command_loop,2,6,2,df -h,158.898249,ok,0,,
medium,mosh,command_loop,2,7,2,df -h,417.221906,ok,0,,
medium,mosh,command_loop,2,8,2,df -h,155.555542,ok,0,,
medium,mosh,command_loop,2,9,2,df -h,155.898727,ok,0,,
medium,mosh,command_loop,2,10,2,df -h,164.471469,ok,0,,
medium,mosh,command_loop,2,11,2,df -h,165.438131,ok,0,,
medium,mosh,command_loop,2,12,2,df -h,158.551745,ok,0,,
medium,mosh,command_loop,2,13,2,df -h,162.558037,ok,0,,
medium,mosh,command_loop,2,14,2,df -h,154.183408,ok,0,,
medium,mosh,command_loop,2,15,2,df -h,169.063924,ok,0,,
medium,mosh,command_loop,2,16,2,df -h,158.842603,ok,0,,
